"","Date","Value","File","Date_Order"
"1","2008-12-15",1908,"MCRFPUT1",295
"2","2008-11-15",1966,"MCRFPUT1",294
"3","2008-10-15",1986,"MCRFPUT1",293
"4","2008-09-15",1881,"MCRFPUT1",292
"5","2008-08-15",1919,"MCRFPUT1",291
"6","2008-07-15",1887,"MCRFPUT1",290
"7","2008-06-15",1812,"MCRFPUT1",289
"8","2008-05-15",1871,"MCRFPUT1",288
"9","2008-04-15",1819,"MCRFPUT1",287
"10","2008-03-15",1763,"MCRFPUT1",286
"11","2008-02-15",1576,"MCRFPUT1",285
"12","2008-01-15",1653,"MCRFPUT1",284
"13","2007-12-15",1647,"MCRFPUT1",283
"14","2007-11-15",1627,"MCRFPUT1",282
"15","2007-10-15",1654,"MCRFPUT1",281
"16","2007-09-15",1613,"MCRFPUT1",280
"17","2007-08-15",1693,"MCRFPUT1",279
"18","2007-07-15",1688,"MCRFPUT1",278
"19","2007-06-15",1642,"MCRFPUT1",277
"20","2007-05-15",1746,"MCRFPUT1",276
"21","2007-04-15",1647,"MCRFPUT1",275
"22","2007-03-15",1658,"MCRFPUT1",274
"23","2007-02-15",1456,"MCRFPUT1",273
"24","2007-01-15",1464,"MCRFPUT1",272
"25","2006-12-15",1509,"MCRFPUT1",271
"26","2006-11-15",1531,"MCRFPUT1",270
"27","2006-10-15",1536,"MCRFPUT1",269
"28","2006-09-15",1552,"MCRFPUT1",268
"29","2006-08-15",1578,"MCRFPUT1",267
"30","2006-07-15",1541,"MCRFPUT1",266
"31","2006-06-15",1452,"MCRFPUT1",265
"32","2006-05-15",1501,"MCRFPUT1",264
"33","2006-04-15",1495,"MCRFPUT1",263
"34","2006-03-15",1489,"MCRFPUT1",262
"35","2006-02-15",1298,"MCRFPUT1",261
"36","2006-01-15",1446,"MCRFPUT1",260
"37","2005-12-15",1488,"MCRFPUT1",259
"38","2005-11-15",1433,"MCRFPUT1",258
"39","2005-10-15",1493,"MCRFPUT1",257
"40","2005-09-15",1429,"MCRFPUT1",256
"41","2005-08-15",1437,"MCRFPUT1",255
"42","2005-07-15",1397,"MCRFPUT1",254
"43","2005-06-15",1375,"MCRFPUT1",253
"44","2005-05-15",1402,"MCRFPUT1",252
"45","2005-04-15",1311,"MCRFPUT1",251
"46","2005-03-15",1358,"MCRFPUT1",250
"47","2005-02-15",1228,"MCRFPUT1",249
"48","2005-01-15",1323,"MCRFPUT1",248
"49","2004-12-15",1350,"MCRFPUT1",247
"50","2004-11-15",1310,"MCRFPUT1",246
"51","2004-10-15",1320,"MCRFPUT1",245
"52","2004-09-15",1266,"MCRFPUT1",244
"53","2004-08-15",1260,"MCRFPUT1",243
"54","2004-07-15",1247,"MCRFPUT1",242
"55","2004-06-15",1179,"MCRFPUT1",241
"56","2004-05-15",1239,"MCRFPUT1",240
"57","2004-04-15",1174,"MCRFPUT1",239
"58","2004-03-15",1164,"MCRFPUT1",238
"59","2004-02-15",1099,"MCRFPUT1",237
"60","2004-01-15",1137,"MCRFPUT1",236
"61","2003-12-15",1126,"MCRFPUT1",235
"62","2003-11-15",1067,"MCRFPUT1",234
"63","2003-10-15",1097,"MCRFPUT1",233
"64","2003-09-15",1036,"MCRFPUT1",232
"65","2003-08-15",1089,"MCRFPUT1",231
"66","2003-07-15",1104,"MCRFPUT1",230
"67","2003-06-15",1077,"MCRFPUT1",229
"68","2003-05-15",1109,"MCRFPUT1",228
"69","2003-04-15",1085,"MCRFPUT1",227
"70","2003-03-15",1132,"MCRFPUT1",226
"71","2003-02-15",1032,"MCRFPUT1",225
"72","2003-01-15",1144,"MCRFPUT1",224
"73","2002-12-15",1121,"MCRFPUT1",223
"74","2002-11-15",1112,"MCRFPUT1",222
"75","2002-10-15",1136,"MCRFPUT1",221
"76","2002-09-15",1079,"MCRFPUT1",220
"77","2002-08-15",1148,"MCRFPUT1",219
"78","2002-07-15",1132,"MCRFPUT1",218
"79","2002-06-15",1123,"MCRFPUT1",217
"80","2002-05-15",1193,"MCRFPUT1",216
